team_name,team_id,age_group,gender,source,points,state,rank,url
CFYSC 2016B Select Red,553265,U10,Male,GotSport Rankings,0,IL,12,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=49
Glen-Ed SC 16/17B Italy,514992,U10,Male,GotSport Rankings,0,IL,15,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=49
Grand FC Eagles 2016,650380,U10,Male,GotSport Rankings,0,IL,19,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=49
2016 European American SC Macedonia Red,586204,U10,Male,GotSport Rankings,0,IL,1,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=50
GOROS FC 2016,585593,U10,Male,GotSport Rankings,0,IL,6,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=50
PSG ACADEMY CHICAGO 2016 BOYS PRE-ACADEMY,431192,U10,Male,GotSport Rankings,0,IL,9,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=50
Calcio Hawks Rush 2016 Hawks,631837,U10,Male,GotSport Rankings,0,IL,15,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=50
Chicago Blast 2016 Gold,486781,U10,Male,GotSport Rankings,0,IL,9,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=51
CFYSC 2016B Select White,553261,U10,Male,GotSport Rankings,0,IL,10,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=51
Palatine Celtic 2016B Black,412234,U10,Male,GotSport Rankings,0,IL,19,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=52
Real Cerezo FC U10,641747,U10,Male,GotSport Rankings,0,IL,16,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=53
SC Hammers 2016 Select,458940,U10,Male,GotSport Rankings,0,IL,3,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=55
Atletico Soledad 2016 White,625955,U10,Male,GotSport Rankings,0,IL,7,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=55
Schwaben 2016 Boys National,394875,U10,Male,GotSport Rankings,0,IL,12,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=55
Evolution 2016 Boys Mercurial,410153,U10,Male,GotSport Rankings,0,IL,13,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=56
Aurora Eagles 2016,396947,U10,Male,GotSport Rankings,0,IL,15,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=56
2016B Premier I,349062,U10,Male,GotSport Rankings,0,IL,17,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=56
Leyden Township Eagles FC (U10),670600,U10,Male,GotSport Rankings,0,IL,17,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=57
MSSC 2016/17 Boys,506936,U10,Male,GotSport Rankings,0,IL,19,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=57
FORCE 2016B ELITE,592740,U10,Male,GotSport Rankings,0,IL,7,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=58
Campton United 2015 Navy,282520,U10,Male,GotSport Rankings,0,IL,11,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=58
FCB 2016 BB,633424,U10,Male,GotSport Rankings,0,IL,18,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=58
