team_id_master,team,state,gender,age_group,component_id,component_size,degree
0f31844a7fdd,Harvest SC Boys 2015,MA,M,U11,0,23630,18
45f65fc35c6b,Lincoln FC 15B Blue,CA,M,U11,0,23630,48
4456ea39e586,Boston Vigor FC boys 2015 Manchester,MA,M,U11,0,23630,20
f5c98e1d3a18,24 APSC 2015B Arsenal,CA,M,U11,0,23630,21
5d860cef675f,2015 Boys Pre-ECNL,OH,M,U11,0,23630,17
3ba8e8410ab9,FC Stars Acton 2015 Boys Blue,MA,M,U11,0,23630,21
4c27e60f3aec,Barcelona United Elite 15B,OH,M,U11,0,23630,25
89c8d54b229d,DCFC South Oakland 15B Rouge,MI,M,U11,0,23630,18
70bc121a144f,Burlingame SC 2015B Yellow,CA,M,U11,0,23630,23
c9d8f0c69583,BUSC 2015 Elite 2,CA,M,U11,0,23630,36
a88cb0ddff8a,FHFC 2015 B Blue,FL,M,U11,0,23630,22
3982a6185805,LA B15 FC,CA,M,U11,0,23630,47
7e4f074a8e99,Chargers LWR B2015 Pre-EA ARCHIVED PER JUAN,FL,M,U11,0,23630,30
5a07e463e33a,BSA 2015 Wolfpack,NJ,M,U11,0,23630,27
cb27ef961033,B2015 Pre-ECNL I,CT,M,U11,0,23630,14
3dd55788173d,Bay Era FC,CA,M,U11,0,23630,18
bc3f90a4648b,Roadrunners SC B2015 Select II,IL,M,U11,0,23630,24
8d0d9de77461,Solar West 15B Padilla,TX,M,U11,0,23630,17
00ddc5551e6c,FC Dallas Youth Pre ECNL B15 Red Reyes,TX,M,U11,0,23630,19
9312cf849498,Chula Vista FC B2015 Guaje,CA,M,U11,0,23630,24
dc361625ed69,Blast 2015,NY,M,U11,0,23630,21
08d348031041,GSA U11B Academy Green,ID,M,U11,0,23630,25
c21f031d8c61,Electric Rays 2015,NJ,M,U11,0,23630,17
2b7d6f257fa4,Dortmund,CA,M,U11,0,23630,38
faddef3041c3,Hauppauge Warriors White,NY,M,U11,0,23630,23
2425019639ed,Little Knights,CA,M,U11,0,23630,21
e339c5c32e0b,2015 Junior White,NJ,M,U11,0,23630,12
099c14e4ffec,Alameda SC Islanders 15B Blue,CA,M,U11,0,23630,21
ae79e53cb319,Placer United 15B Black,CA,M,U11,0,23630,38
1e412765bbf0,United Silicon Valley 15B Blue,CA,M,U11,0,23630,23
7886baaf60ee,Orange County B15 FC,CA,M,U11,0,23630,47
5333efc9da13,B15 Premier Belleh,CA,M,U11,0,23630,29
4c90fdec0508,B2015 ES Iontchev #2,CA,M,U11,0,23630,32
5bd956d47919,Glory SC 2015 Acree,OH,M,U11,0,23630,18
0a5912c0b204,FSC15B Spartans,CA,M,U11,0,23630,26
